question,image_id,question_id
Is the person in the picture empty-handed?,39,78
Are the people in the picture facing each other?,40,79
are they in the room?,40,80
Is there anyone sitting in the picture?,41,81
is there a table in the picture?,41,82
Is there any bottled liquid in the picture?,42,83
is the person in the picture in the car?,42,84
Is there anyone sitting on the blue bed in the picture?,43,85
Are there any windows in the picture?,43,86
Is there a sea in the picture?,44,87
Is there anyone standing in the picture?,44,88
Are there any paintings on the wall in the picture?,45,89
is there a table in the picture?,45,90
Is the person in the picture holding something?,46,91
Are there any windows in the picture?,46,92
Is anyone wearing a hat in the picture?,47,93
Is anyone in the picture with their eyes closed?,47,94
Is anyone in the picture laughing?,48,95
Is anyone in the picture with their eyes open?,48,96
Does anyone in the picture wear glasses?,49,97
Does the person in the picture have brown hair?,49,98
Is the person in the picture standing?,50,99
Is the person in the picture holding something?,50,100
Is the person in the picture outside?,51,101
are there any birds in the picture?,51,102
Is the person in the picture outside?,52,103
are there any birds in the picture?,52,104
Are there many people in the picture?,53,105
Are there any trees in the picture?,53,106
is there a book in the picture?,54,107
Are there many people in the picture?,54,108
Does the person in the photo have gray hair?,55,109
Is the person in the picture with his head down?,55,110
is the person in the picture angry?,56,111
Does the person in the picture have something in his hand?,56,112
Is the person in the picture wearing a hat?,57,113
Does the person in the picture have their eyes closed?,57,114
Are there any children in the picture?,58,115
Is anyone in the picture running?,58,116
Is anyone in the picture reading a book?,59,117
Does the person in the picture have brown hair?,59,118
is there beer in the picture?,60,119
Are there many people in the picture?,60,120
Is the person in the picture driving?,61,121
Is there only one person in the picture?,61,122
Does the person in the picture have a beard?,62,123
Does the person in the picture wear glasses?,62,124
is the person in the picture smiling?,63,125
Is the person in the picture outside?,63,126
Are there any plants in the picture?,64,127
is the person in the picture singing?,64,128
is there a table in the picture?,65,129
Does the person in the picture open their eyes?,65,130
Is there only one person in the picture?,66,131
Is the background in the picture black?,66,132
is there a table in the picture?,67,133
Is the window in the picture open?,67,134
Is the person in the picture wearing green clothes?,68,135
Does the person in the picture wear glasses?,68,136
is there a table in the picture?,69,137
is the person in the picture sitting?,69,138
Is there anyone in the picture?,70,139
Is the person in the picture singing?,70,140
Are there any trees in the picture?,71,141
is there a car in the picture?,71,142
Is the person in the picture holding a mobile phone?,72,143
Is it daytime in the picture?,72,144
Does the person in the picture wear glasses?,73,145
Does the person in the picture have blue hair?,73,146
Is there a poster in the picture?,74,147
is the person in the picture in the car?,74,148
is the person in the picture in the car?,75,149
Is there a poster in the picture?,75,150
Are the people in the picture communicating?,76,151
Is there only one person in the picture?,76,152
Does the person in the picture have a beard?,77,153
Is the person in the picture bald?,77,154
is the person in the picture smiling?,78,155
Are there any windows in the picture?,78,156
Is there only one person in the picture?,79,157
is the person in the picture smiling?,79,158
Is the person in the picture reading a newspaper?,80,159
is the person in the picture smiling?,80,160
Is the person in the picture holding banknotes in their hands?,81,161
is there a small bicycle in the picture?,81,162
Is the person in the picture wearing pink clothes?,82,163
Is the person in the picture wearing blue clothes?,82,164
is there a cowboy hat in the picture?,83,165
Is the person in the picture riding a bull?,83,166
Are there many containers or bottles in the picture?,84,167
Are there many people partying in the picture?,84,168
Is there a cup on the table in the picture?,85,169
Can you see the windows on the wall in the picture?,85,170
is there a table in the picture?,86,171
Does anyone in the picture wear glasses?,86,172
Can you see the windows on the wall in the picture?,87,173
Is the person in the picture happy?,87,174
is there a table in the picture?,88,175
Is the person in the picture happy?,88,176
Is there anyone standing in the picture?,89,177
is the person in the picture sitting?,89,178
is the person in the picture wearing a green jacket?,90,179
Is the person in the picture happy?,90,180
is there a door in the picture?,91,181
Are there windows in the picture?,91,182
is there a table in the picture?,92,183
Does the person in the picture open their eyes?,92,184
Is there a calendar on the wall in the picture?,93,185
Are there windows in the picture?,93,186
Is the person in the picture speaking into a microphone?,94,187
is there anyone else in the picture?,94,188
Is the person in the picture happy?,95,189
Are there any windows in the picture?,95,190
Does the person in the picture raise their hands?,96,191
Is the person in the picture depressed?,96,192
Are there many people in the car in the picture?,97,193
Are there no children in the picture?,97,194
is there a red table in the picture?,98,195
Is the person in the picture standing?,98,196
Is there a picture frame on the bedside table in the picture?,99,197
Does the one in the picture wear glasses?,99,198
Is the person in the picture happy?,100,199
is there a table in the picture?,100,200
Is the person in the picture taking a nap on the couch?,101,201
Does the person in the picture open their eyes?,101,202
Are there any windows in the picture?,102,203
is there anyone in the picture?,102,204
Is the person in the picture preparing to eat with a knife and fork?,103,205
Are there any windows in the picture?,103,206
Is the person in the picture answering the phone with a handset?,104,207
Are the hands of the person in the picture empty?,104,208
Is the person in the picture lying on the bed ready to sleep?,105,209
Is the person in the picture lying on the sofa?,105,210
Is the one in the picture standing?,106,211
Is there only one person in the picture?,106,212
is there anyone in the picture?,107,213
is there a car in the picture?,107,214
Are there subtitles in the picture?,108,215
Is the person in the picture happy?,108,216
Is the person in the picture wearing a hat?,109,217
Is the person in the picture indoors?,109,218
Are there any children in the picture?,110,219
Is there only one person in the picture?,110,220
Is there a desk lamp in the picture?,111,221
Is the person in the picture sad?,111,222
Is the person in the picture wearing an orange t-shirt and blue shorts?,112,223
Are there any windows in the picture?,112,224
Can you feel the love in this picture?,113,225
Is the person in the picture lying on the bed?,113,226
Is there food and water glasses on the table in the picture?,114,227
Is the person in the picture happy?,114,228
Is the person in the middle of the picture speaking to others?,115,229
Are there adults in the picture?,115,230
Is there a police officer in the picture?,116,231
Is anyone wearing a hat in the picture?,116,232
Is the person in the picture holding a magnet?,117,233
Is the person in the picture happy?,117,234
is there a mirror in the picture?,118,235
Does the person in the picture wear glasses?,118,236
Is the sea in the background of the picture?,119,237
Is the person in the picture indoors?,119,238
Are there grasslands and white clouds in the picture?,120,239
Is the person in the picture indoors?,120,240
Is the person in the picture on the street? Can you see the roof of the shop?,121,241
Is the person in the picture happy?,121,242
Is the person in the picture angry?,122,243
Is the person in the picture happy?,122,244
Is the person in the picture lying on the bed?,123,245
Is the person in the picture outside?,123,246
Is the person in the picture indoors?,124,247
Does the person in the picture wear a hat?,124,248
Does the person in the picture open their eyes?,125,249
Is the person in the picture happy?,125,250
Is the person in the picture outside?,126,251
Does the person in the picture have something in his hand?,126,252
is there anyone in the picture?,127,253
Is there any bottled liquid in the picture?,127,254
Is the person in the picture holding something in his hand?,128,255
Is the person in the picture indoors?,128,256
Does the person in the picture carry a schoolbag or backpack?,129,257
Does the person in the picture demonstrate?,129,258
Is the person in the picture talking on a cell phone?,130,259
Is the person in the picture watching TV?,130,260
Is the wall in the picture covered with leaflets?,131,261
Is the person in the picture wearing a schoolbag or backpack?,131,262
Does the guy in the picture have a joystick in front of him?,132,263
Is the person in the picture lying on the bed?,132,264
Is the person in the picture about to be injected? Is there a syringe in the picture?,133,265
Is the person in the picture happy?,133,266
Is the person in the picture doing homework?,134,267
Is the person in the picture lying on the bed?,134,268
is there a chair in the picture,135,269
Is the person in the picture standing?,135,270
Can you see clouds and bushes in the picture?,136,271
Is the environment in the picture outdoors?,136,272
Are there many people in the picture?,137,273
can you feel the love in this picture?,137,274
Is the person in the picture indoors?,138,275
Is the person in the picture sitting at the table?,138,276
Is the person in the picture playing outside?,139,277
is there a car in the picture?,139,278
Are the people in the picture worried?,140,279
Is the person in the picture happy?,140,280
Are there any plants in the picture?,141,281
Are there any police in the picture?,141,282
Is anyone in the picture wearing a police uniform?,142,283
Is anyone wearing a hat in the picture?,142,284
Is there anyone kneeling in the picture?,143,285
is the person in the picture on the mattress?,143,286
is the person in the picture on the sofa?,144,287
Is the person in the picture happy?,144,288
Does the person in the picture open his mouth?,145,289
Is the person in the picture happy?,145,290
can you feel the love in this picture?,146,291
is there a window in the picture?,146,292
Is the person in the picture sitting on the sofa answering the phone?,147,293
can you feel the love in this picture?,147,294
Is the person in the picture aiming with a slingshot?,148,295
Is the person in the picture driving?,148,296
Is the person in the picture bald?,149,297
Is the person in the picture angry?,149,298
is the person in the picture speaking?,150,299
is there anyone else in the picture?,150,300
Is the person in the photo talking to someone?,151,301
Is this person wearing a skirt?,151,302
Is that a blue background behind this man?,152,303
Does the man in the picture have long hair?,152,304
Are there six people in this photo?,153,305
Are there six girls in this picture?,153,306
Are there many plants in this picture?,154,307
Is there any bird in this photo?,154,308
Is this man standing in front of the red curtain?,155,309
Does this man look angry?,155,310
Are some of the people in this picture wearing suits?,156,311
Is there a rabbit in this picture？,156,312
Are there men and women in the audience?,157,313
The bald man in the picture wears clothes with the number 2 written on it?,157,314
Is there a hand holding a basketball in the picture？,158,315
Does the bald man in the picture look happy?,158,316
Is the person in the picture sitting in a wheelchair?,159,317
Is that a young man in the picture?,159,318
Are the window frames blue?,160,319
Can we see the whole body of the person in the picture?,160,320
Can we see any book shelf in the picture?,161,321
Is this man sitting on a green chaise longue?,161,322
Does the man look angry?,162,323
Does the window glass appear to be intact?,162,324
Does the man look sad?,163,325
Is that a woman carrying the luggage in the picture?,163,326
Is the man thinking of something?,164,327
Is this man wearing a blue scarf around his neck?,164,328
Is the man in the picture yellow-skinned?,165,329
Can we see the feet of the man in this photo?,165,330
Is this man in the picture wearing a white T-shirt?,166,331
Is this man in the picture wearing a pair of green jeans?,166,332
Does the man in the picture have 8 fingers in total?,167,333
Does the man look excited？,167,334
Is this man writting something?,168,335
The man in the picture has thick eyebrows?,168,336
Is this man in the picture wearing a pair of blue jeans?,169,337
Is this man sitting on a small chair?,169,338
Can we see clouds in the blue sky?,170,339
Is the man lying on the ground?,170,340
Is the man dancing?,171,341
Is the man dancing in the forest?,171,342
Is the man in the picture look old?,172,343
Is this man wearing earrings?,172,344
Does this man look sad?,173,345
Does this man look very strong?,173,346
Does this man have a very long nose?,174,347
Is the man wearing a bow tie?,174,348
Is the man holding something with his hands?,175,349
Is the dark-skinned one in the picture a girl in dress?,175,350
Is this man looking at something with a telescope?,176,351
Can we see the sun in the sky from this picture?,176,352
Is the man in the picture holding a kid?,177,353
The door behind the two characters is red?,177,354
Is the man sitting on a red chair?,178,355
Is the man laughing?,178,356
Is the man wearing a blue suit?,179,357
Is the man looking up to the sky?,179,358
Does the man look annoyed?,180,359
Is the man sitting on a green chair?,180,360
Can we see a rainbow on the cover of the book?,181,361
Can we see the face of the person holding this book?,181,362
Does the man look angry?,182,363
Is this man wearing a green tie?,182,364
The man has a suspicious smirk on his face?,183,365
Is the man wearing a red shirt?,183,366
Is the man sitting in a car?,184,367
Is the man wearing a red suit?,184,368
Is this man a criminal?,185,369
Does this man look very kind?,185,370
Is there a glass of water in front of the man?,186,371
Does the man look very happy?,186,372
Is this man holding a quill in his hand?,187,373
Is the table green?,187,374
Is the man standing in front of a door?,188,375
The room number is 100?,188,376
The man is about to press a button?,189,377
Does the man look angry?,189,378
The man is grabbed by someone?,190,379
Is the man sitting comfortably?,190,380
Does the man look terrified?,191,381
The man is holding  a blue blanket?,191,382
Is the man holding a microphone?,192,383
Is the man wearing a black hat?,192,384
Does the man look angry?,193,385
Is it daytime in the picture?,193,386
Is the man wiping his nose?,194,387
Is the man standing in front of a red chair?,194,388
Does the man look astonished?,195,389
Is the man wearing a green jacket?,195,390
Are people wearing sportswear in the picture?,196,391
Are there many yellow houses in the picture?,196,392
Are there two policemen in the photo?,197,393
The season shown in this photo is spring?,197,394
Is the man lying on a hospital bed?,198,395
Does the man look very healthy in this photo?,198,396
Are there three policemen beside a police car?,199,397
Are the policemen standing on the grass?,199,398
Are there three policemen in the picture?,200,399
Are all the adults in the picture?,200,400
Do the people in the picture have police badges on them?,201,401
are there any children in the picture?,201,402
Does the guy in the picture have his tie clipped?,202,403
Are the people in the picture happy?,202,404
Does the person in the picture wear a hat?,203,405
Does the person in the picture wear myopia glasses?,203,406
Is the guy in the picture wearing a police cap?,204,407
Is the person in the picture wearing a police uniform?,204,408
is it nighttime in the picture,205,409
Is it daytime in the picture,205,410
Is the background in the picture in prison?,206,411
Is the person in the picture a child?,206,412
is it nighttime in the picture,207,413
Is the person in the picture wearing a police cap?,207,414
Does the policeman in the picture have a walkie-talkie strapped to his waist?,208,415
Does the person in the picture wear glasses?,208,416
Is the police officer in the picture lying on a chair outdoors?,209,417
Is it daytime in the picture?,209,418
Is the policeman in the picture driving?,210,419
Is it daytime in the picture?,210,420
Do the policemen in the picture have handcuffs and other police equipment on their waists?,211,421
Is the person in the picture sad?,211,422
Is the car in the picture pink?,212,423
Does the person in the picture have black hair?,212,424
is there a table in the picture?,213,425
Are there any children in the picture?,213,426
Is there a police car next to the police in the picture?,214,427
Is the person in the picture a child?,214,428
Are the police officers in the picture escorting criminals?,215,429
Is it nighttime in the picture?,215,430
Are the policemen in the picture on the street?,216,431
Is the building in the picture brown?,216,432
Is the cop in the picture eating donuts and drinking coffee in the car?,217,433
is it daytime in the picture?,217,434
Are there any plants in the picture?,218,435
Is the person in the picture happy?,218,436
Are the policemen's hands tied up with rope in the picture?,219,437
Are the people in the picture happy?,219,438
Are the people in the picture happy?,220,439
Is the car in the picture black?,220,440
Does the person in the picture wear glasses?,221,441
is the person in the picture in the car?,221,442
Does the person in the picture wear glasses?,222,443
is the person in the picture in the car?,222,444
Are there drinks and burgers on the table in the picture,223,445
Is the person in the picture lying on the bed?,223,446
Does the policeman in the picture have a gun in his hand or waist?,224,447
Is it night in the picture?,224,448
Is the police car in the picture white?,225,449
Is the person in the picture sitting in the car?,225,450
Is the person in the picture holding paper in his hand?,226,451
Is the person in the picture holding a newspaper?,226,452
Are any windows broken in the picture?,227,453
Are there any children in the picture?,227,454
is there a table in the picture?,228,455
Is there only one person in the picture?,228,456
Is there only one person in the picture?,229,457
Is the person in the picture holding a weapon?,229,458
Is the person in the picture driving?,230,459
Does the person in the picture wear glasses?,230,460
is there a table in the picture?,231,461
Is the person in the picture wearing a police cap?,231,462
Is the person in the picture holding a weapon?,232,463
Is the person in the picture a criminal?,232,464
Is the person in the picture holding a weapon?,233,465
is it daytime in the picture?,233,466
Is the person in the picture a police officer?,234,467
does he wear glasses,234,468
Is the person in the picture holding a gift in his hand?,235,469
is there a table in the picture?,235,470
Is the person in the picture saying hello?,236,471
Is the person in the picture asleep?,236,472
Are the people in the picture happy?,237,473
Is the person in the picture a child?,237,474
Is anyone down in the picture?,238,475
Are all the people in the picture kids?,238,476
Is the book in the picture red?,239,477
is there a window in the picture?,239,478
Is the person in the picture lying on the bed?,240,479
Is the person in the picture sitting in the car?,240,480
are there trees in the picture?,241,481
Is it night time in the picture?,241,482
is the person in the picture smiling,242,483
Is it night time in the picture?,242,484
Is the policeman in the picture sitting on a chair?,243,485
Is the person in the picture lying on the bed?,243,486
Is the table in the picture full of foods?,244,487
Is it daytime in the picture?,244,488
Are there two police officers in the picture?,245,489
Are there two children in the picture?,245,490
Is the person in the picture a policeman?,246,491
The person in the picture has an empty hand?,246,492
Is the person in the picture fat?,247,493
Does the person in the picture wear a hat?,247,494
Is there a poster in the picture?,248,495
Is the person in the picture a policeman?,248,496
Is the person in the picture taking notes?,249,497
Does the person in the picture wear glasses?,249,498
Does the person in the picture feel pain?,250,499
Is the person in the picture lying down and sleeping?,250,500
Is the person reading something?,251,501
Is the man holding a book?,251,502
Is there two people in the picture?,252,503
Does the taller one in the picture look happy?,252,504
Does the man in the picture have brown hair?,253,505
Are the walls blue?,253,506
Is this man being arrested?,254,507
Are people in the picture outside the house?,254,508
Does the person in the picture have long hair?,255,509
Does the person in the picture wearing a hat?,255,510
Is the taller person in the picture wearing a pink suit?,256,511
Is the person with brown hair talking right now?,256,512
Is there a carpet on the floor?,257,513
Is the man running in the room?,257,514
Is the person wearing a blue shirt?,258,515
Does the person look skinny?,258,516
Is there a movie poster on the wall?,259,517
Is the man standing beside the desk?,259,518
Is the man typing?,260,519
The woman on the poster has short blonde hair?,260,520
Is the man lying on the bed?,261,521
Does the man look happy?,261,522
Is this man sitting on a high stool?,262,523
Is the man sitting in front of a blue curtain?,262,524
Is the man standing on the balcony?,263,525
Is this building red?,263,526
Is there a man sitting on a park bench in the picture？,264,527
Is the man wearing a blue jacket?,264,528
This man has his arms crossed?,265,529
Does the man look happy and excited?,265,530
Is the man wearing a green tie?,266,531
Is that a tall glass of red wine in front of this man?,266,532
Does the person in the picture look very unhappy?,267,533
Is the person in the picture wearing a down jacket?,267,534
Does the person in the picture look unwell?,268,535
Is the man standing beside the bed?,268,536
Is the man in the picture saying something angrily?,269,537
Is the ceiling in the picture red?,269,538
Is there a man in the picture making a wish on the shooting stars?,270,539
Can we see a bunch of people in the picture?,270,540
Is the man holding the document in the picture shouting?,271,541
Is there only one person in the picture?,271,542
Does the person in the picture look angry?,272,543
Is the person holding a pile of books?,272,544
Does the man look sad?,273,545
Is this man looking to the left?,273,546
Does the man in the picture have a beard?,274,547
Is this man standing?,274,548
Are there two people in this picture?,275,549
Is the boy in the picture wearing a red eye patch？,275,550
Is the man wearing a blue shirt?,276,551
Is this man indoors at this moment?,276,552
Is there a red hat in this picture?,277,553
Does the man in the picture have short curly black hair?,277,554
The man in the picture seems to do something wrong?,278,555
Does the man look very clean and neatly dressed?,278,556
Is the man in the picture pointing at something?,279,557
Is the man sitting on the ground?,279,558
Is the man in the picture holding a book with a purple cover?,280,559
Is the wall behind this man in pink？,280,560
Is the man in the picture organizing something?,281,561
Is there more than one box on the table?,281,562
Is there a pink heart in the plastic bag?,282,563
Does the man in the picture look very happy?,282,564
Are there many comic books being exhibited?,283,565
Are the comic books placed inside an exhibit case?,283,566
Does the man in the picture look very happy?,284,567
Is the man sitting on the bed?,284,568
Is there a blue instrument on the wall?,285,569
Is the wall behind this man in green？,285,570
Is the man writing or drawing something?,286,571
Is the man using a quill?,286,572
Does this man have a watch on his wrist?,287,573
Does the man look excited?,287,574
Is the man saying something?,288,575
Does the man look happy?,288,576
Is the man in the picture wearing a black undershirt?,289,577
Is the man in the picture wearing a straw hat?,289,578
Is the man in the picture wearing a blue shirt?,290,579
Does the man in the picture look very happy?,290,580
Is the man using a computer?,291,581
Does the man have blonde hair?,291,582
Is this man wearing a brown coat?,292,583
Is this man crying?,292,584
Is the man crossing his arms?,293,585
Does the man in the picture look very happy?,293,586
Is this man looking at things in front of him?,294,587
Is the man wearing gloves?,294,588
Are there many items in the glass cabinet?,295,589
Is there a young girl standing behind the glass cabinet?,295,590
Are all the houses in the picture with purple roofs?,296,591
Is the person in the picture smiling at something?,296,592
Is the person in the picture smoking a cigarette?,297,593
Is the person in the picture sitting on a blue couch?,297,594
Can we see a big grin on the woman's face?,298,595
Is her hair very long?,298,596
Is that a blackboard behind this woman?,299,597
Is this woman sitting on a chair?,299,598
Does the woman in the picture have brown hair?,300,599
Does the woman in the picture look happy?,300,600
Are there many people in the room?,301,601
Is the floor green?,301,602
Is the woman in the picture wearing a green jacket?,302,603
Is the woman in the picture wearing red earrings?,302,604
Is the woman in the picture sitting on a red chair?,303,605
Is that a Chinese flag next to her?,303,606
Are there three people in the picture?,304,607
Is the one with the glasses wearing a blue jacket?,304,608
Can you see a candle in the picture?,305,609
Are they watching TV?,305,610
Are the people in the picture in a classroom?,306,611
Is this woman sitting on the desk wearing jeans?,306,612
Is the woman in the picture looking at something?,307,613
Is she standing?,307,614
Can you see someone with a purple bow on his/her head?,308,615
Is the door red?,308,616
Can you see a blue photo frame on the wall？,309,617
Does the woman in the picture look happy?,309,618
Is the person in the picture holding something in her arms?,310,619
Does she look calm and relaxed?,310,620
Is the woman in the picture wearing a red dress?,311,621
Does she have long hair?,311,622
Is the wall green?,312,623
Does the woman look happy?,312,624
Is there a mug on the table?,313,625
Is the wall red?,313,626
Is the woman in the picture driving a red car?,314,627
Does she look happy and excited?,314,628
Is the woman in the picture holding a book with red covers?,315,629
Is she looking at the book?,315,630
Is the woman in the picture sitting on the sofa?,316,631
Is there a wallet next to the woman?,316,632
Does the woman in the picture have short hair?,317,633
Is the window frame black?,317,634
Is the house painted in purple?,318,635
Is it daytime in the picture?,318,636
Is the woman in the picture talking to someone?,319,637
Is the woman in the picture wearing a blue jacket?,319,638
Does the woman in the picture put her hands up?,320,639
Is she sitting on a chair?,320,640
Is the woman in the picture smiling?,321,641
Is she standing?,321,642
Is the woman in the picture leaning on a desk?,322,643
Does she look happy?,322,644
Can we see a woman in the middle of the picture?,323,645
Is the ceiling blue?,323,646
Does the woman in the picture look worried?,324,647
Does she wear blue coat?,324,648
Is the door blue?,325,649
Is the wall blue?,325,650
Does the woman in the picture wear a pink robe?,326,651
Is the woman in the picture sleeping?,326,652
Is the woman in the picture standing like a model?,327,653
Does the woman in the picture look sad?,327,654
Is there a microphone in front of the woman in the picture?,328,655
Is there a blue curtain behind the woman?,328,656
Is the woman in the picture crossing her arms?,329,657
Is she happy?,329,658
Are there desks in the picture?,330,659
Is the picture shown in the image outdoors?,330,660
Can we see a lamp next to the sofa?,331,661
Is the woman in the picture sitting on the sofa?,331,662
Are there clouds in the sky?,332,663
Does the woman in the picture look happy?,332,664
Does the woman in the picture look shocked?,333,665
Is there only one person in the picture?,333,666
Is there a red clock on the wall?,334,667
Does the woman in the picture look very happy?,334,668
Is there a women in the picture?,335,669
Does she wear a red dress?,335,670
Is there a pillow on the sofa?,336,671
Is the pillow white?,336,672
Is the woman in the picture sitting?,337,673
Is she talking to someone?,337,674
Does the woman in the picture have short brown hair?,338,675
Are there many people in the picture?,338,676
Is the woman in the picture leaning on a glass cabinet?,339,677
Does she look happy?,339,678
Does the woman in the picture look tired?,340,679
Does the woman in the picture wear a black coat?,340,680
Is someone patting the woman on her shoulder?,341,681
Does the woman in the picture look angry?,341,682
Is that a night scene outside the window?,342,683
Does the woman in the picture look young?,342,684
Are there maps in the picture?,343,685
Is the woman in the picture looking down at the ground?,343,686
Does the woman in the picture look angry?,344,687
Is the woman standing outside the house?,344,688
Is the woman wearing a pink robe?,345,689
Does she look happy and excited?,345,690
Is there a colorful umbrella in the picture?,346,691
Can you see a woman in the picture?,346,692
Does the person in the picture look upset?,347,693
Is he standing in a room?,347,694
Does the person in the picture wear a sailor hat?,348,695
Does the person in the picture look sad?,348,696
Does the person in the picture wear a white shirt?,349,697
Does the person in the picture have long hair?,349,698
Does the person in the picture wear a striped pink tie?,350,699
Is he working in a cubicle?,350,700
Does the man wear a white T-shirt?,351,701
Does the man look happy?,351,702
Does the man in the superrmarket?,352,703
Does the man look excited?,352,704
Has this man been hit by a car？,353,705
Is the man wearing a blue suit?,353,706
Does the man hold a purple knife?,354,707
Is the man in the living room?,354,708
Is there a desk lamp in the picture?,355,709
Is the wall white?,355,710
Is there a fence in this picture?,356,711
Does the man wear the shirt?,356,712
Is this man sitting on a stool?,357,713
Does the man wear a purple pants?,357,714
Is there a glass of beer in the picture?,358,715
Is the table green?,358,716
Does the man in the picture look sad?,359,717
Is the wall white?,359,718
Is this man sleeping?,360,719
Is there a clock in the picture?,360,720
Are there toys in the picture?,361,721
Does he look happy?,361,722
Is this man wearing a suit?,362,723
Is the wall white?,362,724
Is this man wearing red shorts?,363,725
Is there a table in this picture?,363,726
Is this quilt purple?,364,727
Does the man wear a red shirt?,364,728
Is there a car in the picture?,365,729
Does the man wear a red shirt?,365,730
Does the man wear a white shirt?,366,731
Is the wall red?,366,732
Is this man holding a child?,367,733
Is the door in the picture green?,367,734
Is there a wine bottle in the picture?,368,735
Does the man wear a green pants?,368,736
Is the wall blue?,369,737
Does he look happy?,369,738
Is this man on the award stage?,370,739
Is this man holding a book in his hand?,370,740
Is this man on the phone?,371,741
Is there a blue backpack in this picture?,371,742
Is this man wearing a belt around his waist?,372,743
Is this man facing you directly?,372,744
Is the wardrobe inside this purple?,373,745
Is this man wearing a pink coat?,373,746
Is this man sitting on the sofa?,374,747
Are the paintings hanging on the wall flowers?,374,748
Is this man sitting in the kitchen?,375,749
Is the refrigerator in the picture black?,375,750
Is this man wearing a tie?,376,751
Is the door in the picture brown?,376,752
Is this person wearing a floral long skirt?,377,753
Is this person wearing green shoes?,377,754
Is this man talking?,378,755
Is this man wearing glasses?,378,756
Is there an orange floor lamp in the picture?,379,757
Are the curtains in the picture brown?,379,758
Is there any stone in the picture?,380,759
Does this man look happy?,380,760
Is there grass in the picture?,381,761
Is there a desk lamp in the picture?,381,762
Is there a window in the picture?,382,763
Is the color of the floor green?,382,764
Is this man wearing a purple hat?,383,765
Is this sleeping bag red?,383,766
Is the car in the picture purple?,384,767
Is the brooch this man is wearing in the shape of a leaf?,384,768
Is there a glass on the table in the picture?,385,769
Does this man eat with a fork?,385,770
Is this man watching a hockey game?,386,771
Is the TV set in the picture green?,386,772
Is there a radio in the picture?,387,773
Is the phone in the picture red?,387,774
Is there a tent in the picture?,388,775
Does this man look happy?,388,776
Is there a nuclear energy label in the picture?,389,777
Is the nuclear energy label in the picture green?,389,778
Is the cabinet in the picture orange?,390,779
Is the color inside the cabinet blue?,390,780
Is this man wearing a hat?,391,781
Is the car in the picture green?,391,782
Is the desk lamp in the picture purple?,392,783
Is this man wearing long sleeved clothes?,392,784
Is there a window on the door in the picture?,393,785
Is the man in the picture wearing clothes?,393,786
Is this man driving?,394,787
Is this man's car green?,394,788
Is this man holding a bell in his hand?,395,789
Is there a glass in the picture?,395,790
Is this man's hair white?,396,791
Is this man holding a phone in his hand?,396,792
Is this man holding a manuscript in his hand?,397,793
Is the background of the picture green?,397,794
Is this man holding a microphone in his hand?,398,795
Is this man's jacket black?,398,796
Is this man wearing headphones,399,797
Is this man's tie red,399,798
Is this man holding his fist,400,799
Is there a glass on this person's table,400,800
Is the man holding a manuscript in his hands?,401,801
Is the picture hanging on the wall black,401,802
Is this person holding a microphone in their hand,402,803
Is this man wearing a black jacket,402,804
Is this man's tie blue,403,805
Is this man indoors,403,806
Is there a number 6 on this man's microphone,404,807
